,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total_Assets,Assets_score,Assets_to_loan_score,Income_to_loan,Income_to_loan_score,Income_to_Loan_score_per_dependancy
0,2, Graduate, No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,1,42700000,33220600000,1111.056856187291,3.8528428093645486,2997.511705685619,999.170568561873
1,0, Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,0,13700000,5712900000,468.2704918032787,2.6885245901639343,1121.1147540983607,1121.1147540983607
2,3, Graduate, No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,0,44900000,22719400000,764.9629629629629,6.127946127946128,3100.740740740741,775.1851851851852
3,3, Graduate, No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,0,44800000,20921600000,681.485342019544,2.1368078175895766,997.8892508143323,249.47231270358307
4,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,0,50000000,19100000000,789.2561983471074,8.099173553719009,3093.884297520661,515.6473829201102
5,0, Graduate, Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,0,28800000,9187200000,680.5333333333333,3.5555555555555554,1134.2222222222222,1134.2222222222222
6,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,1,66500000,45087000000,1366.2727272727273,1.0545454545454545,714.9818181818181,119.16363636363634
7,2, Graduate, Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,0,30700000,11727400000,781.8266666666667,7.6,2903.2,967.7333333333332
8,0, Graduate, Yes,800000,2200000,20,782,1300000,800000,2800000,600000,1,4900000,3831800000,1741.7272727272727,7.2727272727272725,5687.272727272727,5687.272727272727
9,5, Not Graduate, No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,0,7900000,3065200000,712.8372093023256,2.558139534883721,992.5581395348837,165.42635658914728
10,4, Graduate, Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,1,22300000,12198100000,1089.1160714285713,0.5178571428571429,283.26785714285717,56.65357142857143
11,2, Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,0,41500000,22327000000,983.568281938326,5.312775330396476,2858.273127753304,952.7577092511013
12,3, Not Graduate, Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,0,30600000,9516600000,820.3965517241379,6.896551724137931,2144.8275862068963,536.2068965517241
13,2, Graduate, Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,1,48300000,32795700000,1041.1333333333334,4.044444444444444,2746.1777777777775,915.3925925925925
14,1, Not Graduate, No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,0,9000000,4221000000,570.4054054054054,1.5405405405405406,722.5135135135135,361.2567567567568
15,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,1,26000000,20644000000,1929.3457943925234,4.392523364485982,3487.6635514018694,581.2772585669783
16,2, Graduate, Yes,500000,1600000,4,663,1300000,100000,1300000,700000,1,2700000,1790100000,1118.8125,1.25,828.75,276.25
17,4, Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,1,12400000,9672000000,1028.936170212766,4.319148936170213,3368.936170212766,673.7872340425531
18,2, Graduate, No,2700000,10300000,10,736,1000000,0,6200000,3300000,1,7200000,5299200000,514.4854368932039,2.621359223300971,1929.3203883495146,643.1067961165048
19,5, Graduate, No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,1,37300000,24319600000,1665.7260273972602,5.178082191780822,3376.109589041096,562.6849315068494
20,2, Graduate, No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,0,29100000,9166500000,472.5,3.0927835051546393,974.2268041237114,324.74226804123714
21,4, Graduate, No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,0,37300000,19769000000,1412.0714285714287,6.628571428571429,3513.1428571428573,702.6285714285715
22,4, Graduate, Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,0,34300000,10667300000,415.07003891050584,4.552529182879377,1415.8365758754862,283.16731517509726
23,0, Not Graduate, Yes,500000,1400000,2,551,900000,600000,1100000,300000,1,2600000,1432600000,1023.2857142857143,0.7142857142857143,393.57142857142856,393.57142857142856
24,0, Not Graduate, No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,0,22500000,7290000000,743.8775510204082,8.0,2592.0,2592.0
25,5, Not Graduate, No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0,17600000,9046400000,952.2526315789473,6.526315789473684,3354.5263157894738,559.0877192982456
26,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,1,47400000,32990400000,1174.035587188612,3.501779359430605,2437.2384341637007,487.44768683274015
27,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,1,14100000,9334200000,1666.8214285714287,1.7142857142857142,1134.857142857143,226.9714285714286
28,5, Not Graduate, Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,0,41700000,14011200000,583.8,1.75,588.0,98.0
29,3, Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,1,67900000,57715000000,1832.2222222222222,2.857142857142857,2428.5714285714284,607.1428571428571
30,2, Not Graduate, No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,0,50900000,15931700000,629.7114624505929,4.648221343873518,1454.893280632411,484.9644268774703
31,2, Graduate, No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,0,32700000,11870100000,989.175,2.85,1034.55,344.84999999999997
32,1, Not Graduate, Yes,800000,1600000,10,436,700000,200000,2200000,1000000,0,3100000,1351600000,844.75,5.0,2180.0,1090.0
33,5, Not Graduate, Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,1,27600000,22908000000,1041.2727272727273,0.7636363636363637,633.8181818181819,105.63636363636364
34,3, Graduate, No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,1,29900000,18298800000,1537.7142857142858,3.2941176470588234,2016.0,504.0
35,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,1,11500000,7946500000,2337.205882352941,4.0,2764.0,921.3333333333334
36,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000,1,9400000,5978400000,964.258064516129,4.645161290322581,2954.3225806451615,738.5806451612904
37,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,0,23400000,8143200000,299.38235294117646,1.7647058823529411,614.1176470588235,102.3529411764706
38,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,1,18300000,15189000000,1972.5974025974026,7.48051948051948,6208.831168831169,1034.8051948051948
39,3, Not Graduate, Yes,1500000,5100000,6,352,100000,200000,5600000,900000,0,5900000,2076800000,407.2156862745098,1.7647058823529411,621.1764705882352,155.2941176470588
40,1, Graduate, No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,1,41500000,29548000000,1632.486187845304,0.861878453038674,613.6574585635359,306.82872928176795
41,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,1,65400000,53758800000,2158.987951807229,5.847389558232932,4806.55421686747,1602.1847389558234
42,3, Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000,0,5600000,3024000000,889.4117647058823,2.4705882352941178,1334.1176470588236,333.5294117647059
43,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,0,5300000,1812600000,788.0869565217391,4.173913043478261,1427.4782608695652,475.82608695652175
44,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000,1,34700000,27308900000,2037.9776119402984,8.73134328358209,6871.567164179105,1145.261194029851
45,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,0,40700000,13471700000,484.5935251798561,4.60431654676259,1524.0287769784172,304.80575539568343
46,3, Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,1,18000000,12222000000,837.1232876712329,1.726027397260274,1171.972602739726,292.9931506849315
47,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,1,32200000,21799400000,1141.3298429319373,3.5916230366492146,2431.528795811518,1215.764397905759
48,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000,1,27900000,17688600000,862.8585365853659,3.2195121951219514,2041.1707317073171,510.2926829268293
49,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,1,48300000,31974600000,1674.0628272251308,7.958115183246074,5268.272251308901,2634.1361256544506
50,4, Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000,0,22800000,11445600000,450.61417322834643,4.5984251968503935,2308.4094488188975,461.6818897637795
51,2, Graduate, No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,0,32100000,13963500000,565.3238866396761,3.522267206477733,1532.1862348178138,510.7287449392713
52,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000,1,18100000,12470900000,1640.907894736842,2.0,1378.0,229.66666666666666
53,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,1,62100000,40799700000,1773.9,4.3826086956521735,2879.373913043478,1439.686956521739
54,2, Graduate, Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,1,36100000,21299000000,1081.1675126903554,5.177664974619289,3054.8223350253807,1018.2741116751268
55,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,1,23100000,18895800000,771.2571428571429,3.2816326530612243,2684.3755102040814,447.3959183673469
56,2, Not Graduate, No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,0,12900000,5559900000,524.5188679245283,7.30188679245283,3147.1132075471696,1049.0377358490566
57,5, Graduate, Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,1,64200000,53992200000,1770.2360655737705,5.488524590163935,4615.849180327869,769.3081967213116
58,1, Graduate, No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,0,45100000,18987100000,1031.9076086956522,8.043478260869565,3386.3043478260865,1693.1521739130433
